MSOA,MedianHP,Borough,Area,Inner,Political,PopulationDensity,WorkingAge,ObesityRate,LifeExpectancy,BAME,Unemployed,MedianHHIncome,CarsPerHH,OwnershipRate,Sales
E02000001,465000,City of London,Central,Inner,Other,26.24059631,77.559322,13.7,86,21.36949153,3.761061947,46788.29547,0.385860889,42.3,256
E02000002,185000,Barking and Dagenham,East,Outer,Labour,31.70483461,57.904059,29.8,79.05,35.01107011,11.76677204,27058.70376,0.849612975,46.4,51
E02000003,200000,Barking and Dagenham,East,Outer,Labour,47.71421901,64.888004,28.3,82.9,45.38576406,9.110758237,36834.52874,0.982263954,65.2,89
E02000004,193750,Barking and Dagenham,East,Outer,Labour,25.30487805,64.283403,26.9,79.3,19.02296991,9.287731409,39668.20643,1.14322692,72.8,72
E02000005,165000,Barking and Dagenham,East,Outer,Labour,72.88948742,63.256249,29.7,78.35,33.73043681,9.723593287,29155.68354,0.92271442,58.3,81
E02000007,153750,Barking and Dagenham,East,Outer,Labour,52.28712985,61.06245,29,77.6,32.81765442,13.08578745,25568.60183,0.740773031,40.1,76
E02000008,160000,Barking and Dagenham,East,Outer,Labour,81.90013381,62.624254,29.1,77.7,30.3569885,11.09833237,26749.83924,0.813548247,45.7,76
E02000009,171000,Barking and Dagenham,East,Outer,Labour,92.26525088,66.015485,27.6,80.95,38.82072662,11.11661302,27346.88564,0.832814446,45.9,151
E02000010,157500,Barking and Dagenham,East,Outer,Labour,79.0135569,62.588508,29.5,78.75,30.79512478,10.23399331,27077.14144,0.824119077,45.3,45
E02000011,184000,Barking and Dagenham,East,Outer,Labour,39.60097873,64.005172,29,76.7,33.63504122,8.612284693,33153.02742,1.003058104,66.5,53
E02000012,250000,Barking and Dagenham,East,Outer,Labour,77.31292779,64.856392,24.9,81.35,56.10841424,7.348857082,42624.01601,1.131368938,69.2,104
E02000013,156250,Barking and Dagenham,East,Outer,Labour,64.93944504,61.592478,30.3,77.55,31.08783623,9.879839786,27213.22439,0.84608,46,40
E02000014,159000,Barking and Dagenham,East,Outer,Labour,79.57575249,62.880238,30.4,77.8,29.51499681,10.99608926,26796.10602,0.79665817,43.9,65
E02000015,140000,Barking and Dagenham,East,Outer,Labour,56.32251432,63.837102,30.9,78.7,36.71823351,13.92991602,24590.59709,0.660252366,30.9,32
